ID	Text	Pronoun	Pronoun_offset	A	A-offset	A-coref	B	B-offset	B-coref	URL
development-1	[CLS] Zoe Tel ##ford - - played the police officer girlfriend of Simon , Maggie . Du ##mp ##ed by Simon in the final episode of series 1 , after he slept with Jenny , and is not seen again . Phoebe Thomas played Cheryl Cassidy , Pauline ' s friend and also a year 11 pupil in Simon ' s class . Du ##mp ##ed her boyfriend following Simon ' s advice after he wouldn ' t have sex with her but later realised this was due to him catching crab ##s off her friend Pauline . [SEP]	her	66:67	Cheryl Cassidy ,	44:47	TRUE	Pauline '	47:49	FALSE	http://en.wikipedia.org/wiki/dummy
development-2	[CLS] He grew up in Evans ##ton , Illinois the second oldest of five children including his brothers , Fred and Gordon and sisters , Mar ##ge ( P ##ep ##py ) and Marilyn . His high school days were spent at New Tri ##er High School in Win ##net ##ka , Illinois . MacKenzie studied with Bernard Lea ##ch from 1949 to 1952 . His simple , wheel - thrown functional pottery is heavily influenced by the or ##ient ##al aesthetic of S ##ho ##ji Ham ##ada and Ka ##nji ##ro Ka ##wai . [SEP]	His	65:66	MacKenzie	54:55	TRUE	Bernard Lea ##ch	57:60	FALSE	http://en.wikipedia.org/wiki/dummy
development-3	[CLS] He had been reelected to Congress , but resigned in 1990 to accept a post as Ambassador to Brazil . De la So ##ta again ran for governor of C * r ##do ##ba in 1991 . De ##fe ##ated by Governor Angelo ##z by over 15 % , this latter set ##back was significant because it cost De la So ##ta much of his support within the Just ##ici ##alis ##t Party ( which was flush with victory in the 1991 mid - terms ) , leading to President Carlos Men ##em ' s endorsement of a separate party list in C * r ##do ##ba for the 1993 mid - term elections , and to De la So ##ta ' s failure to regain a seat in Congress . [SEP]	his	65:66	Angelo ##z	43:45	FALSE	De la So ##ta	59:63	TRUE	http://en.wikipedia.org/wiki/dummy
development-4	[CLS] The current members of Crime have also performed in San Francisco under the band name ' ' Re ##mote View ##ers ` ` . Strike has published two works of fiction in recent years : Port ##s of Hell , which is listed in the Rock and Roll Hall of Fame Library , and A Lou ##d Hu ##mming Sound Came from Above . Rank has produced numerous films ( under his real name , Henry Rosen ##thal ) including the hit The Devil and Daniel Johnston . [SEP]	his	72:73	Hell ,	39:41	FALSE	Henry Rosen ##thal )	76:80	TRUE	http://en.wikipedia.org/wiki/dummy
development-5	[CLS] Her Santa Fe Opera debut in 2005 was as N ##uria in the revised edition of Go ##li ##jo ##v ' s Ain ##ada ##mar . She sang on the subsequent Deutsche Gram ##mo ##phon recording of the opera . For his opera Doctor Atomic , Adams re ##w ##rote the role of Kitty Op ##pen ##heimer , originally a me ##zzo - soprano role , for soprano voice , and Rivera sang the re ##written part of Kitty Op ##pen ##heimer at L ##yric Opera of Chicago , De Ned ##erland ##se Opera , and the Metropolitan Opera . , all in 2007 . She has since sung several parts and roles in John Adams ' works , including the soprano part in El Ni * o , and the role of Ku ##mu ##dha in A Flower ##ing Tree in the Peter Se ##llars production at the New Crown ##ed Hope Festival in Vienna . [SEP]	She	106:107	Kitty Op ##pen ##heimer ,	54:59	FALSE	Rivera	72:73	TRUE	http://en.wikipedia.org/wiki/dummy
development-6	[CLS] Sandra Collins is an American DJ . She got her start on the West Coast of the U . S . in Phoenix , Arizona and into reside ##ncies in Los Angeles , and eventually moved towards trance . She used American producers to give herself a unique sound . Collins performed for an estimated 80 , 000 people on the first night of Woodstock ' 99 , and was the first female DJ featured in the T ##rance ##port series of influential recordings . She recently has released two CD mixes under Paul Oak ##en ##fold ' s Perfect ##o label . [SEP]	She	86:87	Collins	51:52	TRUE	DJ	74:75	FALSE	http://en.wikipedia.org/wiki/dummy
development-7	[CLS] Re ##b Cha ##im Ya ##ak ##ov ' s wife is the sister of Rabbi Mo ##ish ##e Stern ##bu ##ch , as is the wife of Rabbi Me ##shu ##lam Do ##vid Solo ##ve ##itch ##ik , making the two Rabbi ##s his uncle ##s . Re ##b Asher ' s brother Rabbi S ##hl ##omo Ariel ##i is the author of a critical edition of the no ##val ##la ##e of Rabbi A ##ki ##va E ##iger . Before his marriage , Rabbi Ariel ##i studied in the Po ##ne ##vez ##h Yes ##hiva headed by Rabbi S ##hm ##uel R ##oz ##ovsky , and he later studied under his father - in - law in the Mir ##rer Yes ##hiva . [SEP]	his	82:83	Re ##b Asher '	48:52	FALSE	A ##ki ##va E ##iger .	75:81	FALSE	http://en.wikipedia.org/wiki/dummy
development-8	[CLS] S ##lant Magazine ' s Sal C ##in ##que ##mani viewed the album as formula ##ic and ` ` competent ##ly , often f ##rust ##rating ##ly more of the same from an artist who still seems capable of much more . ' ' Greg Ko ##t of the Chicago Tribune perceived ` ` formula production and ha ##ck songwriting ' ' , but compliment ##ed Pink ' s personality and its ` ` handful ' ' of worthy tracks . In his list for The Barnes & Noble Review , Robert Christ ##gau named The Truth About Love the fourth best album of 2012 . [SEP]	his	83:84	Greg Ko ##t	45:48	FALSE	Robert Christ ##gau	92:95	TRUE	http://en.wikipedia.org/wiki/dummy
development-9	[CLS] Her father was an English ##man ` ` of rank and culture ' ' and her mother was a free woman of color , described as light - skinned . When Mary was six , her mother sent her to Alexandria ( then part of the District of Columbia ) to attend school . Living with her aunt Mary Pain ##e , Kelsey studied for about ten years . [SEP]	her	57:58	Mary Pain ##e ,	59:63	FALSE	Kelsey	63:64	TRUE	http://en.wikipedia.org/wiki/dummy
development-10	[CLS] S ##haft ##es ##bury ' s UK partners in the production of the series , British broadcaster UK ##TV and the international distributor ITV Studios Global Entertainment , were both interested in additional seasons . Christina Jennings approached Ki ##rst ##ine Stewart , executive vice - president of CBC ' s English services , about continuing the series , and she felt that ` ` a home at CBC made absolute sense ' ' . [SEP]	she	61:62	Christina Jennings	36:38	TRUE	Ki ##rst ##ine Stewart ,	39:44	FALSE	http://en.wikipedia.org/wiki/dummy
